User,Location,Date Created,Number of Likes,Source of Tweet,Tweet
Yutaka Katoh,,2022-12-07 13:31:20+00:00,21,Twitter for iPhone,"【#JPN vs #HRV 移動データ】
◆総走行距離(平均)
　🇯🇵              🇭🇷
13768m      14154m

◆時速20km以上総距離(平均)
　🇯🇵              🇭🇷
 1025m        1157m

◆最高時速(km/h)
1️⃣ユラノビッチ：34.4
2️⃣ #前田大然 ：33.2
2️⃣ #浅野拓磨 ：33.2
3️⃣ #三笘薫 ：32.8
4️⃣ コバチッチ：32.6 https://t.co/zZvSW78psX"
Reindorf Baafi,"Kumasi, Ghana",2022-12-07 13:31:14+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
SYC,"Kaohsiung City, Taiwan",2022-12-07 13:27:29+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Daniel Azrai,"Selangor, Malaysia",2022-12-07 13:12:04+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Loko shamsudeen,Westeros ,2022-12-07 13:08:26+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Shamsss🌟🌏,,2022-12-07 13:01:30+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Josué paredes,,2022-12-07 13:00:32+00:00,0,Twitter for iPhone,"RT @Rdc_Deportes: LUNES MUNDIALERO
Los 8vos de final continúan con dos grandes compromisos en 1er turno tenemos el duelo entre #JPN  y #HRV…"
Josué paredes,,2022-12-07 13:00:29+00:00,0,Twitter for iPhone,"RT @Rdc_Deportes: SE SUMAN DOS MÁS A LA LISTA DE INVITADOS
Con las victorias de #HRV en 1er turno en los penales a #JPN y en 1do turno la g…"
DSPARK COMEDY🤣,Occupy Till i Come!!!,2022-12-07 12:55:20+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
THAT GIRL😈,"Greater Accra, Ghana",2022-12-07 12:50:41+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
🕊️,,2022-12-07 12:43:20+00:00,0,Twitter for Android,"RT @beINSPORTSUSA: RESPECT 

#FIFAWorldCup #Qatar2022 #JPN #HRV https://t.co/Im601NMntL"
Dimas Suryatmojo,SUB-SDA-MLG-JKT,2022-12-07 12:39:55+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
thebettyslip,,2022-12-07 12:34:40+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
HOLLAR_WESS™,Lagos state,2022-12-07 12:33:54+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
πριγκίπισσα🇦🇷🇧🇷,The Shed End,2022-12-07 12:32:20+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Haris@10,,2022-12-07 12:16:21+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
